Price,Close,High,Low,Open,Volume,SMA_10,SMA_30,EMA_10,MA20,Upper,Lower,RSI,EMA_12,EMA_26,MACD,Signal,Histograma
2024-11-08,7.090000152587891,7.099999904632568,6.849999904632568,7.099999904632568,11800,7.0180000305175785,7.861000013351441,7.057863832327918,6.989250040054321,,,51.31004216780541,7.100080654775162,7.7657734386663355,-0.6656927838911733,-0.6656927838911733,0.0
2024-11-11,7.079999923706055,7.090000152587891,6.9670000076293945,6.9670000076293945,6400,7.0,7.692000023523966,7.0618885762148516,6.990750026702881,,,55.16431289015847,7.0969913115337615,7.714975400521129,-0.6179840889873676,-0.6561510449104122,0.03816695592304464
2024-11-12,7.0,7.050000190734863,6.809999942779541,7.050000190734863,12000,6.992000007629395,7.536333354314168,7.05063610781215,7.004250025749206,,,53.287980829635956,7.082069571297799,7.6620142597417855,-0.5799446884439865,-0.6409097736171272,0.0609650851731407
2024-11-13,6.889999866485596,6.889999866485596,6.690000057220459,6.888000011444092,4200,6.95,7.386000029246012,7.0214295184800495,7.013250017166138,,,40.62499922389808,7.052520385942076,7.604828008389475,-0.5523076224473993,-0.6231893433831817,0.07088172093578238
2024-11-14,6.920000076293945,6.940000057220459,6.78000020980835,6.78000020980835,3400,6.957000017166138,7.222000026702881,7.002987801718939,7.022750020027161,,,40.93264863168791,7.03213264599621,7.554100013419436,-0.5219673674232261,-0.6029449481911906,0.08097758076796446
2024-11-15,6.355000019073486,6.760000228881836,6.355000019073486,6.760000228881836,9100,6.917500019073486,7.044500017166138,6.8851718412379475,6.9845000267028805,,,31.79074821186144,6.927958395700406,7.465277791616032,-0.5373193959156257,-0.5898198377360776,0.05250044182045188
2024-11-18,6.03000020980835,6.5,5.622000217437744,6.21999979019165,48400,6.847500038146973,6.96333335240682,6.729686090068929,6.934500026702881,,,30.038032740756023,6.789810982486244,7.358960933704352,-0.5691499512181082,-0.5856858604324837,0.016535909214375533
2024-11-19,5.900000095367432,6.260000228881836,5.78000020980835,5.992000102996826,14400,6.751500034332276,6.910333363215129,6.578834091032292,6.886500024795533,,,22.13439793011264,6.652916999852581,7.250889760494209,-0.5979727606416283,-0.5881432404743127,-0.009829520167315642
2024-11-20,5.809999942779541,6.019999980926514,5.769999980926514,6.019999980926514,2800,6.633500051498413,6.865333366394043,6.439046064077246,6.834250020980835,,,25.925935737386453,6.523237452610575,7.144157181404234,-0.620919728793659,-0.594698538138182,-0.02622119065547701
2024-11-21,5.84499979019165,6.017000198364258,5.75,5.843999862670898,3700,6.492000007629395,6.829500023523966,6.331037650643501,6.764000010490418,,,28.400957315692267,6.4188931968538165,7.047923300573672,-0.6290301037198551,-0.6015648512545166,-0.027465252465338486
2024-11-22,5.619999885559082,6.190000057220459,5.519999980926514,5.940000057220459,37000,6.344999980926514,6.7745000203450525,6.201758056991788,6.681500005722046,,,25.869569318730512,6.295986533577703,6.942151195757776,-0.6461646621800732,-0.6104848134396279,-0.035679848740445275
2024-11-25,5.730000019073486,5.949999809265137,5.710000038146973,5.75,20300,6.209999990463257,6.730500014623006,6.115983868279368,6.604999995231628,,,25.219303198907127,6.208911685192439,6.852362219707088,-0.6434505345146491,-0.6170779576546321,-0.026372576860016927
2024-11-26,5.550000190734863,5.855000019073486,5.510000228881836,5.855000019073486,13300,6.065000009536743,6.691166687011719,6.013077745089458,6.528500008583069,,,19.098733087124458,6.10754068604512,6.755890958301738,-0.6483502722566188,-0.6233324205750295,-0.02501785168158932
2024-11-27,5.510000228881836,5.980000019073486,5.510000228881836,5.650000095367432,12100,5.927000045776367,6.6511666933695475,5.92160910577898,6.438500022888183,,,8.333340902175735,6.0156113849430755,6.663602756122486,-0.647991371179411,-0.6282642106959058,-0.0197271604835052
2024-11-29,5.300000190734863,5.78000020980835,5.300000190734863,5.510000228881836,29100,5.765000057220459,6.603500032424927,5.808589303043686,6.361000037193298,,,8.177577694363464,5.905517355064888,6.562595158686365,-0.657077803621477,-0.63402692928102,-0.02305087434045705
2024-12-02,5.670000076293945,5.829999923706055,5.349999904632568,5.659999847412109,38400,5.696500062942505,6.555166705449422,5.78339126181646,6.307000041007996,,,21.800003051757812,5.869283927561666,6.496477004435075,-0.6271930768734091,-0.6326601587994979,0.0054670819260888015
2024-12-03,5.760000228881836,6.111999988555908,5.699999809265137,5.699999809265137,8200,5.669500064849854,6.512833372751872,5.779138346737437,6.258500051498413,,,25.298811592727148,5.852471050841692,6.441923169208909,-0.589452118367217,-0.6240185507130417,0.03456643234582468
2024-12-04,5.760000228881836,6.179999828338623,5.619999885559082,5.849999904632568,21700,5.655500078201294,6.4761667092641195,5.775658688945509,6.203500056266785,,,26.45834181871645,5.838244770540175,6.391410358814311,-0.553165588274136,-0.6098479582252605,0.05668236995112452
2024-12-05,5.659999847412109,5.980000019073486,5.650000095367432,5.869999885559082,10500,5.640500068664551,6.43633337020874,5.754629808666708,6.137000060081482,,,24.493925249702414,5.8108224746743184,6.3372318024141485,-0.5264093277398301,-0.5931602321281745,0.06675090438834441
2024-12-06,5.619999885559082,5.809999942779541,5.619999885559082,5.800000190734863,10500,5.618000078201294,6.382000033060709,5.730151640828958,6.055000042915344,7.248275006096433,4.861725079734255,31.10539669293233,5.7814651532719745,6.284103512276737,-0.5026383590047621,-0.5750558575034921,0.07241749849873003
2024-12-09,5.53000020980835,5.869999885559082,5.5,5.630000114440918,29700,5.609000110626221,6.3240000406901045,5.693760471552483,5.977000045776367,7.0864113653510445,4.8675887262016895,35.38011728520718,5.742778238892956,6.228244008390189,-0.4854657694972335,-0.5571378399022404,0.0716720704050069
2024-12-10,5.659999847412109,5.679999828338623,5.619999885559082,5.679999828338623,6200,5.602000093460083,6.270666694641113,5.687622176254234,5.90600004196167,6.893216159208159,4.918783924715181,42.98244708988439,5.730043101742056,6.1861518483177385,-0.45610874657568257,-0.5369320212369288,0.08082327466124628
2024-12-11,5.369999885559082,5.739999771118164,5.260000228881836,5.739999771118164,22600,5.584000062942505,6.2136666933695475,5.629872668855114,5.824500036239624,6.69349154319833,4.955508529280919,38.48167009897994,5.674651837713906,6.125696147372652,-0.4510443096587462,-0.5197544789212923,0.06871016926254614
